Time,Raw_EEGS
12/31/2018 11:38:20 PM,48
12/31/2018 11:38:20 PM,7
12/31/2018 11:38:20 PM,-6
12/31/2018 11:38:20 PM,7
12/31/2018 11:38:20 PM,43
12/31/2018 11:38:20 PM,74
12/31/2018 11:38:20 PM,74
12/31/2018 11:38:20 PM,65
12/31/2018 11:38:20 PM,57
12/31/2018 11:38:20 PM,52
12/31/2018 11:38:20 PM,41
12/31/2018 11:38:20 PM,26
12/31/2018 11:38:20 PM,20
12/31/2018 11:38:20 PM,18
12/31/2018 11:38:20 PM,19
12/31/2018 11:38:20 PM,34
12/31/2018 11:38:20 PM,59
12/31/2018 11:38:20 PM,88
12/31/2018 11:38:20 PM,112
12/31/2018 11:38:20 PM,119
12/31/2018 11:38:20 PM,101
12/31/2018 11:38:20 PM,58
12/31/2018 11:38:20 PM,26
12/31/2018 11:38:20 PM,26
12/31/2018 11:38:20 PM,41
12/31/2018 11:38:20 PM,80
12/31/2018 11:38:20 PM,102
12/31/2018 11:38:20 PM,82
12/31/2018 11:38:20 PM,58
12/31/2018 11:38:20 PM,58
12/31/2018 11:38:20 PM,66
12/31/2018 11:38:20 PM,60
12/31/2018 11:38:20 PM,41
12/31/2018 11:38:20 PM,28
12/31/2018 11:38:20 PM,38
12/31/2018 11:38:20 PM,68
12/31/2018 11:38:20 PM,93
12/31/2018 11:38:20 PM,106
12/31/2018 11:38:20 PM,92
12/31/2018 11:38:20 PM,53
12/31/2018 11:38:20 PM,22
12/31/2018 11:38:20 PM,-3
12/31/2018 11:38:20 PM,-17
12/31/2018 11:38:20 PM,-8
12/31/2018 11:38:20 PM,12
12/31/2018 11:38:20 PM,41
12/31/2018 11:38:20 PM,76
12/31/2018 11:38:20 PM,92
12/31/2018 11:38:20 PM,74
12/31/2018 11:38:20 PM,56
12/31/2018 11:38:20 PM,49
12/31/2018 11:38:20 PM,37
12/31/2018 11:38:20 PM,25
12/31/2018 11:38:20 PM,11
12/31/2018 11:38:20 PM,1
12/31/2018 11:38:20 PM,6
12/31/2018 11:38:20 PM,51
12/31/2018 11:38:20 PM,108
12/31/2018 11:38:20 PM,138
12/31/2018 11:38:20 PM,128
12/31/2018 11:38:20 PM,91
12/31/2018 11:38:20 PM,43
12/31/2018 11:38:20 PM,20
12/31/2018 11:38:20 PM,10
12/31/2018 11:38:20 PM,3
12/31/2018 11:38:20 PM,13
12/31/2018 11:38:20 PM,50
12/31/2018 11:38:20 PM,73
12/31/2018 11:38:20 PM,74
12/31/2018 11:38:20 PM,51
12/31/2018 11:38:20 PM,25
12/31/2018 11:38:20 PM,16
12/31/2018 11:38:20 PM,-6
12/31/2018 11:38:20 PM,-33
12/31/2018 11:38:20 PM,-39
12/31/2018 11:38:20 PM,-33
12/31/2018 11:38:20 PM,-11
12/31/2018 11:38:20 PM,5
12/31/2018 11:38:20 PM,18
12/31/2018 11:38:20 PM,40
12/31/2018 11:38:20 PM,49
12/31/2018 11:38:20 PM,28
12/31/2018 11:38:20 PM,24
12/31/2018 11:38:20 PM,48
12/31/2018 11:38:20 PM,74
12/31/2018 11:38:20 PM,99
12/31/2018 11:38:20 PM,123
12/31/2018 11:38:20 PM,151
12/31/2018 11:38:20 PM,162
12/31/2018 11:38:20 PM,148
12/31/2018 11:38:20 PM,119
12/31/2018 11:38:20 PM,88
12/31/2018 11:38:20 PM,72
12/31/2018 11:38:20 PM,52
12/31/2018 11:38:20 PM,25
12/31/2018 11:38:20 PM,25
12/31/2018 11:38:20 PM,68
12/31/2018 11:38:20 PM,118
12/31/2018 11:38:20 PM,146
12/31/2018 11:38:20 PM,128
12/31/2018 11:38:20 PM,90
12/31/2018 11:38:20 PM,56
12/31/2018 11:38:20 PM,37
12/31/2018 11:38:20 PM,32
12/31/2018 11:38:20 PM,28
12/31/2018 11:38:20 PM,33
12/31/2018 11:38:20 PM,55
12/31/2018 11:38:20 PM,97
12/31/2018 11:38:20 PM,136
12/31/2018 11:38:20 PM,145
12/31/2018 11:38:20 PM,113
12/31/2018 11:38:20 PM,81
12/31/2018 11:38:20 PM,60
12/31/2018 11:38:20 PM,27
12/31/2018 11:38:20 PM,-4
12/31/2018 11:38:20 PM,-4
12/31/2018 11:38:20 PM,25
12/31/2018 11:38:20 PM,52
12/31/2018 11:38:20 PM,71
12/31/2018 11:38:20 PM,87
12/31/2018 11:38:20 PM,99
12/31/2018 11:38:20 PM,91
12/31/2018 11:38:20 PM,65
12/31/2018 11:38:20 PM,40
12/31/2018 11:38:20 PM,29
12/31/2018 11:38:20 PM,38
12/31/2018 11:38:20 PM,50
12/31/2018 11:38:20 PM,67
12/31/2018 11:38:20 PM,87
12/31/2018 11:38:20 PM,101
12/31/2018 11:38:20 PM,92
12/31/2018 11:38:20 PM,83
12/31/2018 11:38:20 PM,74
12/31/2018 11:38:20 PM,74
12/31/2018 11:38:20 PM,67
12/31/2018 11:38:20 PM,53
12/31/2018 11:38:20 PM,52
12/31/2018 11:38:20 PM,56
12/31/2018 11:38:20 PM,61
12/31/2018 11:38:20 PM,64
12/31/2018 11:38:20 PM,68
12/31/2018 11:38:20 PM,67
12/31/2018 11:38:20 PM,55
12/31/2018 11:38:20 PM,28
12/31/2018 11:38:20 PM,1
12/31/2018 11:38:20 PM,-27
12/31/2018 11:38:20 PM,-28
12/31/2018 11:38:20 PM,12
12/31/2018 11:38:20 PM,64
12/31/2018 11:38:20 PM,88
12/31/2018 11:38:20 PM,88
12/31/2018 11:38:20 PM,83
12/31/2018 11:38:20 PM,75
12/31/2018 11:38:20 PM,42
12/31/2018 11:38:20 PM,-5
12/31/2018 11:38:20 PM,-27
12/31/2018 11:38:20 PM,-19
12/31/2018 11:38:20 PM,16
12/31/2018 11:38:20 PM,50
12/31/2018 11:38:20 PM,57
12/31/2018 11:38:20 PM,56
12/31/2018 11:38:20 PM,56
12/31/2018 11:38:20 PM,60
12/31/2018 11:38:20 PM,48
12/31/2018 11:38:20 PM,12
12/31/2018 11:38:20 PM,-8
12/31/2018 11:38:20 PM,-10
12/31/2018 11:38:20 PM,-1
12/31/2018 11:38:20 PM,8
12/31/2018 11:38:20 PM,9
12/31/2018 11:38:20 PM,32
12/31/2018 11:38:20 PM,68
12/31/2018 11:38:20 PM,89
12/31/2018 11:38:20 PM,54
12/31/2018 11:38:20 PM,9
12/31/2018 11:38:20 PM,6
12/31/2018 11:38:20 PM,6
12/31/2018 11:38:20 PM,-4
12/31/2018 11:38:20 PM,-2
12/31/2018 11:38:20 PM,34
12/31/2018 11:38:20 PM,89
12/31/2018 11:38:20 PM,131
12/31/2018 11:38:20 PM,117
12/31/2018 11:38:20 PM,76
12/31/2018 11:38:20 PM,45
12/31/2018 11:38:20 PM,23
12/31/2018 11:38:20 PM,8
12/31/2018 11:38:20 PM,12
12/31/2018 11:38:20 PM,28
12/31/2018 11:38:20 PM,44
12/31/2018 11:38:20 PM,58
12/31/2018 11:38:20 PM,59
12/31/2018 11:38:20 PM,52
12/31/2018 11:38:20 PM,41
12/31/2018 11:38:20 PM,36
12/31/2018 11:38:20 PM,25
12/31/2018 11:38:20 PM,6
12/31/2018 11:38:20 PM,-5
12/31/2018 11:38:20 PM,-3
12/31/2018 11:38:20 PM,20
12/31/2018 11:38:20 PM,43
12/31/2018 11:38:20 PM,51
12/31/2018 11:38:20 PM,50
12/31/2018 11:38:20 PM,55
12/31/2018 11:38:20 PM,54
12/31/2018 11:38:20 PM,21
12/31/2018 11:38:20 PM,-20
12/31/2018 11:38:20 PM,-37
12/31/2018 11:38:20 PM,-7
12/31/2018 11:38:20 PM,33
12/31/2018 11:38:20 PM,57
12/31/2018 11:38:20 PM,81
12/31/2018 11:38:20 PM,88
12/31/2018 11:38:20 PM,61
12/31/2018 11:38:20 PM,25
12/31/2018 11:38:20 PM,12
12/31/2018 11:38:20 PM,22
12/31/2018 11:38:20 PM,28
12/31/2018 11:38:21 PM,21
12/31/2018 11:38:21 PM,25
12/31/2018 11:38:21 PM,52
12/31/2018 11:38:21 PM,75
12/31/2018 11:38:21 PM,85
12/31/2018 11:38:21 PM,76
12/31/2018 11:38:21 PM,59
12/31/2018 11:38:21 PM,45
12/31/2018 11:38:21 PM,25
12/31/2018 11:38:21 PM,2
12/31/2018 11:38:21 PM,-4
12/31/2018 11:38:21 PM,21
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,85
12/31/2018 11:38:21 PM,67
12/31/2018 11:38:21 PM,36
12/31/2018 11:38:21 PM,16
12/31/2018 11:38:21 PM,7
12/31/2018 11:38:21 PM,5
12/31/2018 11:38:21 PM,32
12/31/2018 11:38:21 PM,66
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,52
12/31/2018 11:38:21 PM,64
12/31/2018 11:38:21 PM,88
12/31/2018 11:38:21 PM,98
12/31/2018 11:38:21 PM,69
12/31/2018 11:38:21 PM,23
12/31/2018 11:38:21 PM,-5
12/31/2018 11:38:21 PM,-5
12/31/2018 11:38:21 PM,12
12/31/2018 11:38:21 PM,24
12/31/2018 11:38:21 PM,26
12/31/2018 11:38:21 PM,43
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,58
12/31/2018 11:38:21 PM,43
12/31/2018 11:38:21 PM,38
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,-2
12/31/2018 11:38:21 PM,-9
12/31/2018 11:38:21 PM,6
12/31/2018 11:38:21 PM,41
12/31/2018 11:38:21 PM,60
12/31/2018 11:38:21 PM,55
12/31/2018 11:38:21 PM,44
12/31/2018 11:38:21 PM,55
12/31/2018 11:38:21 PM,60
12/31/2018 11:38:21 PM,43
12/31/2018 11:38:21 PM,44
12/31/2018 11:38:21 PM,44
12/31/2018 11:38:21 PM,54
12/31/2018 11:38:21 PM,77
12/31/2018 11:38:21 PM,90
12/31/2018 11:38:21 PM,101
12/31/2018 11:38:21 PM,109
12/31/2018 11:38:21 PM,105
12/31/2018 11:38:21 PM,82
12/31/2018 11:38:21 PM,40
12/31/2018 11:38:21 PM,-3
12/31/2018 11:38:21 PM,-23
12/31/2018 11:38:21 PM,-10
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,49
12/31/2018 11:38:21 PM,71
12/31/2018 11:38:21 PM,85
12/31/2018 11:38:21 PM,76
12/31/2018 11:38:21 PM,52
12/31/2018 11:38:21 PM,32
12/31/2018 11:38:21 PM,13
12/31/2018 11:38:21 PM,4
12/31/2018 11:38:21 PM,6
12/31/2018 11:38:21 PM,21
12/31/2018 11:38:21 PM,50
12/31/2018 11:38:21 PM,69
12/31/2018 11:38:21 PM,68
12/31/2018 11:38:21 PM,80
12/31/2018 11:38:21 PM,117
12/31/2018 11:38:21 PM,112
12/31/2018 11:38:21 PM,56
12/31/2018 11:38:21 PM,20
12/31/2018 11:38:21 PM,10
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,41
12/31/2018 11:38:21 PM,66
12/31/2018 11:38:21 PM,80
12/31/2018 11:38:21 PM,69
12/31/2018 11:38:21 PM,49
12/31/2018 11:38:21 PM,38
12/31/2018 11:38:21 PM,18
12/31/2018 11:38:21 PM,-4
12/31/2018 11:38:21 PM,-1
12/31/2018 11:38:21 PM,26
12/31/2018 11:38:21 PM,64
12/31/2018 11:38:21 PM,68
12/31/2018 11:38:21 PM,66
12/31/2018 11:38:21 PM,77
12/31/2018 11:38:21 PM,88
12/31/2018 11:38:21 PM,89
12/31/2018 11:38:21 PM,72
12/31/2018 11:38:21 PM,42
12/31/2018 11:38:21 PM,25
12/31/2018 11:38:21 PM,35
12/31/2018 11:38:21 PM,67
12/31/2018 11:38:21 PM,89
12/31/2018 11:38:21 PM,101
12/31/2018 11:38:21 PM,98
12/31/2018 11:38:21 PM,83
12/31/2018 11:38:21 PM,76
12/31/2018 11:38:21 PM,86
12/31/2018 11:38:21 PM,87
12/31/2018 11:38:21 PM,66
12/31/2018 11:38:21 PM,50
12/31/2018 11:38:21 PM,59
12/31/2018 11:38:21 PM,80
12/31/2018 11:38:21 PM,73
12/31/2018 11:38:21 PM,73
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,37
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,10
12/31/2018 11:38:21 PM,12
12/31/2018 11:38:21 PM,29
12/31/2018 11:38:21 PM,49
12/31/2018 11:38:21 PM,64
12/31/2018 11:38:21 PM,73
12/31/2018 11:38:21 PM,83
12/31/2018 11:38:21 PM,85
12/31/2018 11:38:21 PM,83
12/31/2018 11:38:21 PM,74
12/31/2018 11:38:21 PM,37
12/31/2018 11:38:21 PM,0
12/31/2018 11:38:21 PM,-12
12/31/2018 11:38:21 PM,-2
12/31/2018 11:38:21 PM,20
12/31/2018 11:38:21 PM,22
12/31/2018 11:38:21 PM,12
12/31/2018 11:38:21 PM,23
12/31/2018 11:38:21 PM,27
12/31/2018 11:38:21 PM,18
12/31/2018 11:38:21 PM,-11
12/31/2018 11:38:21 PM,-51
12/31/2018 11:38:21 PM,-42
12/31/2018 11:38:21 PM,2
12/31/2018 11:38:21 PM,48
12/31/2018 11:38:21 PM,80
12/31/2018 11:38:21 PM,99
12/31/2018 11:38:21 PM,103
12/31/2018 11:38:21 PM,101
12/31/2018 11:38:21 PM,85
12/31/2018 11:38:21 PM,59
12/31/2018 11:38:21 PM,41
12/31/2018 11:38:21 PM,27
12/31/2018 11:38:21 PM,12
12/31/2018 11:38:21 PM,8
12/31/2018 11:38:21 PM,34
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,68
12/31/2018 11:38:21 PM,66
12/31/2018 11:38:21 PM,73
12/31/2018 11:38:21 PM,52
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,-1
12/31/2018 11:38:21 PM,-6
12/31/2018 11:38:21 PM,2
12/31/2018 11:38:21 PM,9
12/31/2018 11:38:21 PM,36
12/31/2018 11:38:21 PM,72
12/31/2018 11:38:21 PM,88
12/31/2018 11:38:21 PM,64
12/31/2018 11:38:21 PM,27
12/31/2018 11:38:21 PM,4
12/31/2018 11:38:21 PM,-8
12/31/2018 11:38:21 PM,1
12/31/2018 11:38:21 PM,32
12/31/2018 11:38:21 PM,55
12/31/2018 11:38:21 PM,70
12/31/2018 11:38:21 PM,86
12/31/2018 11:38:21 PM,99
12/31/2018 11:38:21 PM,101
12/31/2018 11:38:21 PM,98
12/31/2018 11:38:21 PM,81
12/31/2018 11:38:21 PM,58
12/31/2018 11:38:21 PM,59
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,73
12/31/2018 11:38:21 PM,82
12/31/2018 11:38:21 PM,77
12/31/2018 11:38:21 PM,74
12/31/2018 11:38:21 PM,80
12/31/2018 11:38:21 PM,70
12/31/2018 11:38:21 PM,52
12/31/2018 11:38:21 PM,36
12/31/2018 11:38:21 PM,26
12/31/2018 11:38:21 PM,34
12/31/2018 11:38:21 PM,53
12/31/2018 11:38:21 PM,82
12/31/2018 11:38:21 PM,112
12/31/2018 11:38:21 PM,134
12/31/2018 11:38:21 PM,130
12/31/2018 11:38:21 PM,92
12/31/2018 11:38:21 PM,67
12/31/2018 11:38:21 PM,37
12/31/2018 11:38:21 PM,6
12/31/2018 11:38:21 PM,-6
12/31/2018 11:38:21 PM,11
12/31/2018 11:38:21 PM,53
12/31/2018 11:38:21 PM,86
12/31/2018 11:38:21 PM,106
12/31/2018 11:38:21 PM,125
12/31/2018 11:38:21 PM,101
12/31/2018 11:38:21 PM,39
12/31/2018 11:38:21 PM,5
12/31/2018 11:38:21 PM,8
12/31/2018 11:38:21 PM,24
12/31/2018 11:38:21 PM,35
12/31/2018 11:38:21 PM,51
12/31/2018 11:38:21 PM,68
12/31/2018 11:38:21 PM,74
12/31/2018 11:38:21 PM,66
12/31/2018 11:38:21 PM,57
12/31/2018 11:38:21 PM,72
12/31/2018 11:38:21 PM,86
12/31/2018 11:38:21 PM,72
12/31/2018 11:38:21 PM,42
12/31/2018 11:38:21 PM,23
12/31/2018 11:38:21 PM,51
12/31/2018 11:38:21 PM,120
12/31/2018 11:38:21 PM,151
12/31/2018 11:38:21 PM,122
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,10
12/31/2018 11:38:21 PM,-11
12/31/2018 11:38:21 PM,-10
12/31/2018 11:38:21 PM,-17
12/31/2018 11:38:21 PM,-27
12/31/2018 11:38:21 PM,-22
12/31/2018 11:38:21 PM,5
12/31/2018 11:38:21 PM,43
12/31/2018 11:38:21 PM,58
12/31/2018 11:38:21 PM,49
12/31/2018 11:38:21 PM,37
12/31/2018 11:38:21 PM,20
12/31/2018 11:38:21 PM,3
12/31/2018 11:38:21 PM,-3
12/31/2018 11:38:21 PM,1
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,56
12/31/2018 11:38:21 PM,91
12/31/2018 11:38:21 PM,122
12/31/2018 11:38:21 PM,113
12/31/2018 11:38:21 PM,58
12/31/2018 11:38:21 PM,8
12/31/2018 11:38:21 PM,-8
12/31/2018 11:38:21 PM,-3
12/31/2018 11:38:21 PM,1
12/31/2018 11:38:21 PM,-2
12/31/2018 11:38:21 PM,8
12/31/2018 11:38:21 PM,33
12/31/2018 11:38:21 PM,53
12/31/2018 11:38:21 PM,59
12/31/2018 11:38:21 PM,50
12/31/2018 11:38:21 PM,33
12/31/2018 11:38:21 PM,28
12/31/2018 11:38:21 PM,23
12/31/2018 11:38:21 PM,5
12/31/2018 11:38:21 PM,3
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,40
12/31/2018 11:38:21 PM,57
12/31/2018 11:38:21 PM,66
12/31/2018 11:38:21 PM,72
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,52
12/31/2018 11:38:21 PM,20
12/31/2018 11:38:21 PM,5
12/31/2018 11:38:21 PM,16
12/31/2018 11:38:21 PM,22
12/31/2018 11:38:21 PM,36
12/31/2018 11:38:21 PM,57
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,67
12/31/2018 11:38:21 PM,64
12/31/2018 11:38:21 PM,59
12/31/2018 11:38:21 PM,56
12/31/2018 11:38:21 PM,38
12/31/2018 11:38:21 PM,11
12/31/2018 11:38:21 PM,18
12/31/2018 11:38:21 PM,43
12/31/2018 11:38:21 PM,74
12/31/2018 11:38:21 PM,97
12/31/2018 11:38:21 PM,88
12/31/2018 11:38:21 PM,60
12/31/2018 11:38:21 PM,35
12/31/2018 11:38:21 PM,50
12/31/2018 11:38:21 PM,71
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,58
12/31/2018 11:38:21 PM,74
12/31/2018 11:38:21 PM,100
12/31/2018 11:38:21 PM,101
12/31/2018 11:38:21 PM,96
12/31/2018 11:38:21 PM,101
12/31/2018 11:38:21 PM,103
12/31/2018 11:38:21 PM,69
12/31/2018 11:38:21 PM,12
12/31/2018 11:38:21 PM,-4
12/31/2018 11:38:21 PM,17
12/31/2018 11:38:21 PM,51
12/31/2018 11:38:21 PM,81
12/31/2018 11:38:21 PM,101
12/31/2018 11:38:21 PM,99
12/31/2018 11:38:21 PM,82
12/31/2018 11:38:21 PM,73
12/31/2018 11:38:21 PM,54
12/31/2018 11:38:21 PM,39
12/31/2018 11:38:21 PM,39
12/31/2018 11:38:21 PM,32
12/31/2018 11:38:21 PM,32
12/31/2018 11:38:21 PM,45
12/31/2018 11:38:21 PM,69
12/31/2018 11:38:21 PM,85
12/31/2018 11:38:21 PM,68
12/31/2018 11:38:21 PM,40
12/31/2018 11:38:21 PM,26
12/31/2018 11:38:21 PM,21
12/31/2018 11:38:21 PM,18
12/31/2018 11:38:21 PM,23
12/31/2018 11:38:21 PM,21
12/31/2018 11:38:21 PM,23
12/31/2018 11:38:21 PM,33
12/31/2018 11:38:21 PM,42
12/31/2018 11:38:21 PM,40
12/31/2018 11:38:21 PM,25
12/31/2018 11:38:21 PM,2
12/31/2018 11:38:21 PM,-23
12/31/2018 11:38:21 PM,-38
12/31/2018 11:38:21 PM,-36
12/31/2018 11:38:21 PM,-14
12/31/2018 11:38:21 PM,13
12/31/2018 11:38:21 PM,41
12/31/2018 11:38:21 PM,51
12/31/2018 11:38:21 PM,57
12/31/2018 11:38:21 PM,68
12/31/2018 11:38:21 PM,76
12/31/2018 11:38:21 PM,60
12/31/2018 11:38:21 PM,33
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,35
12/31/2018 11:38:21 PM,56
12/31/2018 11:38:21 PM,76
12/31/2018 11:38:21 PM,89
12/31/2018 11:38:21 PM,81
12/31/2018 11:38:21 PM,60
12/31/2018 11:38:21 PM,42
12/31/2018 11:38:21 PM,49
12/31/2018 11:38:21 PM,51
12/31/2018 11:38:21 PM,27
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,43
12/31/2018 11:38:21 PM,85
12/31/2018 11:38:21 PM,119
12/31/2018 11:38:21 PM,128
12/31/2018 11:38:21 PM,92
12/31/2018 11:38:21 PM,56
12/31/2018 11:38:21 PM,41
12/31/2018 11:38:21 PM,38
12/31/2018 11:38:21 PM,40
12/31/2018 11:38:21 PM,34
12/31/2018 11:38:21 PM,37
12/31/2018 11:38:21 PM,69
12/31/2018 11:38:21 PM,88
12/31/2018 11:38:21 PM,90
12/31/2018 11:38:21 PM,83
12/31/2018 11:38:21 PM,67
12/31/2018 11:38:21 PM,54
12/31/2018 11:38:21 PM,56
12/31/2018 11:38:21 PM,40
12/31/2018 11:38:21 PM,16
12/31/2018 11:38:21 PM,22
12/31/2018 11:38:21 PM,56
12/31/2018 11:38:21 PM,82
12/31/2018 11:38:21 PM,88
12/31/2018 11:38:21 PM,101
12/31/2018 11:38:21 PM,114
12/31/2018 11:38:21 PM,107
12/31/2018 11:38:21 PM,76
12/31/2018 11:38:21 PM,41
12/31/2018 11:38:21 PM,38
12/31/2018 11:38:21 PM,58
12/31/2018 11:38:21 PM,74
12/31/2018 11:38:21 PM,84
12/31/2018 11:38:21 PM,92
12/31/2018 11:38:21 PM,96
12/31/2018 11:38:21 PM,76
12/31/2018 11:38:21 PM,56
12/31/2018 11:38:21 PM,42
12/31/2018 11:38:21 PM,34
12/31/2018 11:38:21 PM,23
12/31/2018 11:38:21 PM,27
12/31/2018 11:38:21 PM,58
12/31/2018 11:38:21 PM,89
12/31/2018 11:38:21 PM,105
12/31/2018 11:38:21 PM,101
12/31/2018 11:38:21 PM,85
12/31/2018 11:38:21 PM,72
12/31/2018 11:38:21 PM,53
12/31/2018 11:38:21 PM,32
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,23
12/31/2018 11:38:21 PM,39
12/31/2018 11:38:21 PM,52
12/31/2018 11:38:21 PM,64
12/31/2018 11:38:21 PM,73
12/31/2018 11:38:21 PM,80
12/31/2018 11:38:21 PM,89
12/31/2018 11:38:21 PM,71
12/31/2018 11:38:21 PM,16
12/31/2018 11:38:21 PM,-23
12/31/2018 11:38:21 PM,-20
12/31/2018 11:38:21 PM,13
12/31/2018 11:38:21 PM,51
12/31/2018 11:38:21 PM,71
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,53
12/31/2018 11:38:21 PM,41
12/31/2018 11:38:21 PM,24
12/31/2018 11:38:21 PM,2
12/31/2018 11:38:21 PM,-24
12/31/2018 11:38:21 PM,-10
12/31/2018 11:38:21 PM,32
12/31/2018 11:38:21 PM,61
12/31/2018 11:38:21 PM,85
12/31/2018 11:38:21 PM,92
12/31/2018 11:38:21 PM,90
12/31/2018 11:38:21 PM,93
12/31/2018 11:38:21 PM,88
12/31/2018 11:38:21 PM,54
12/31/2018 11:38:21 PM,18
12/31/2018 11:38:21 PM,-12
12/31/2018 11:38:21 PM,-23
12/31/2018 11:38:21 PM,1
12/31/2018 11:38:21 PM,44
12/31/2018 11:38:21 PM,81
12/31/2018 11:38:21 PM,87
12/31/2018 11:38:21 PM,74
12/31/2018 11:38:21 PM,42
12/31/2018 11:38:21 PM,20
12/31/2018 11:38:21 PM,4
12/31/2018 11:38:21 PM,-4
12/31/2018 11:38:21 PM,7
12/31/2018 11:38:21 PM,11
12/31/2018 11:38:21 PM,3
12/31/2018 11:38:21 PM,7
12/31/2018 11:38:21 PM,32
12/31/2018 11:38:21 PM,41
12/31/2018 11:38:21 PM,22
12/31/2018 11:38:21 PM,1
12/31/2018 11:38:21 PM,6
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,4
12/31/2018 11:38:21 PM,8
12/31/2018 11:38:21 PM,36
12/31/2018 11:38:21 PM,53
12/31/2018 11:38:21 PM,57
12/31/2018 11:38:21 PM,38
12/31/2018 11:38:21 PM,-1
12/31/2018 11:38:21 PM,-6
12/31/2018 11:38:21 PM,21
12/31/2018 11:38:21 PM,51
12/31/2018 11:38:21 PM,68
12/31/2018 11:38:21 PM,76
12/31/2018 11:38:21 PM,89
12/31/2018 11:38:21 PM,116
12/31/2018 11:38:21 PM,140
12/31/2018 11:38:21 PM,140
12/31/2018 11:38:21 PM,105
12/31/2018 11:38:21 PM,54
12/31/2018 11:38:21 PM,19
12/31/2018 11:38:21 PM,17
12/31/2018 11:38:21 PM,23
12/31/2018 11:38:21 PM,51
12/31/2018 11:38:21 PM,73
12/31/2018 11:38:21 PM,83
12/31/2018 11:38:21 PM,83
12/31/2018 11:38:21 PM,75
12/31/2018 11:38:21 PM,70
12/31/2018 11:38:21 PM,49
12/31/2018 11:38:21 PM,28
12/31/2018 11:38:21 PM,27
12/31/2018 11:38:21 PM,36
12/31/2018 11:38:21 PM,44
12/31/2018 11:38:21 PM,61
12/31/2018 11:38:21 PM,76
12/31/2018 11:38:21 PM,65
12/31/2018 11:38:21 PM,36
12/31/2018 11:38:21 PM,17
12/31/2018 11:38:21 PM,12
12/31/2018 11:38:21 PM,11
12/31/2018 11:38:21 PM,5
12/31/2018 11:38:21 PM,3
12/31/2018 11:38:21 PM,23
12/31/2018 11:38:21 PM,56
12/31/2018 11:38:21 PM,80
12/31/2018 11:38:21 PM,75
12/31/2018 11:38:21 PM,58
12/31/2018 11:38:21 PM,39
12/31/2018 11:38:21 PM,28
12/31/2018 11:38:21 PM,17
12/31/2018 11:38:22 PM,-11
12/31/2018 11:38:22 PM,-26
12/31/2018 11:38:22 PM,3
12/31/2018 11:38:22 PM,42
12/31/2018 11:38:22 PM,54
12/31/2018 11:38:22 PM,66
12/31/2018 11:38:22 PM,82
12/31/2018 11:38:22 PM,82
12/31/2018 11:38:22 PM,60
12/31/2018 11:38:22 PM,25
12/31/2018 11:38:22 PM,2
12/31/2018 11:38:22 PM,8
12/31/2018 11:38:22 PM,42
12/31/2018 11:38:22 PM,73
12/31/2018 11:38:22 PM,97
12/31/2018 11:38:22 PM,120
12/31/2018 11:38:22 PM,117
12/31/2018 11:38:22 PM,100
12/31/2018 11:38:22 PM,81
12/31/2018 11:38:22 PM,73
12/31/2018 11:38:22 PM,53
12/31/2018 11:38:22 PM,24
12/31/2018 11:38:22 PM,22
12/31/2018 11:38:22 PM,40
12/31/2018 11:38:22 PM,70
12/31/2018 11:38:22 PM,105
12/31/2018 11:38:22 PM,122
12/31/2018 11:38:22 PM,109
12/31/2018 11:38:22 PM,88
12/31/2018 11:38:22 PM,56
12/31/2018 11:38:22 PM,26
12/31/2018 11:38:22 PM,13
12/31/2018 11:38:22 PM,18
12/31/2018 11:38:22 PM,24
12/31/2018 11:38:22 PM,34
12/31/2018 11:38:22 PM,43
12/31/2018 11:38:22 PM,65
12/31/2018 11:38:22 PM,74
12/31/2018 11:38:22 PM,56
12/31/2018 11:38:22 PM,35
12/31/2018 11:38:22 PM,21
12/31/2018 11:38:22 PM,18
12/31/2018 11:38:22 PM,13
12/31/2018 11:38:22 PM,18
12/31/2018 11:38:22 PM,35
